,filename,width,height,class,xmin,ymin,xmax,ymax
52,T0001_XM_20110811090244_02jpg,3648,2736,Maize,698,863,1408,1623
53,T0001_XM_20110811090244_02jpg,3648,2736,Maize,886,1037,1257,1523
54,T0001_XM_20110811090244_02jpg,3648,2736,Maize,2574,2725,1348,1492
55,T0001_XM_20110811090244_02jpg,3648,2736,Maize,2600,2738,2064,2188
56,T0001_XM_20110811090244_02jpg,3648,2736,Maize,3276,3437,2077,2195
57,T0001_XM_20110811090244_02jpg,3648,2736,Maize,2772,2940,1365,1543
58,T0001_XM_20110811090244_02jpg,3648,2736,Maize,624,789,497,659
59,T0001_XM_20110811090244_02jpg,3648,2736,Maize,197,375,30,192
60,T0001_XM_20110811090244_02jpg,3648,2736,Maize,1098,1212,336,538
61,T0001_XM_20110811090244_02jpg,3648,2736,Maize,1639,1767,262,437
62,T0001_XM_20110811090244_02jpg,3648,2736,Maize,2600,2735,417,575
63,T0001_XM_20110811090244_02jpg,3648,2736,Maize,3007,3148,360,655
64,T0001_XM_20110811090244_02jpg,3648,2736,Maize,3471,3609,1358,1482
65,T0001_XM_20110811090244_02jpg,3648,2736,Maize,3330,3474,2353,2501
66,T0001_XM_20110811090244_02jpg,3648,2736,Maize,1434,1545,615,760
67,T0001_XM_20110811100245_02jpg,3648,2736,Maize,678,816,1388,1597
68,T0001_XM_20110811100245_02jpg,3648,2736,Maize,906,1041,1240,1482
69,T0001_XM_20110811100245_02jpg,3648,2736,Maize,389,580,1946,2218
70,T0001_XM_20110811100245_02jpg,3648,2736,Maize,638,806,497,645
71,T0001_XM_20110811100245_02jpg,3648,2736,Maize,1081,1209,333,534
72,T0001_XM_20110811100245_02jpg,3648,2736,Maize,1629,1767,232,410
73,T0001_XM_20110811100245_02jpg,3648,2736,Maize,2621,2735,387,551
74,T0001_XM_20110811100245_02jpg,3648,2736,Maize,2990,3142,363,635
75,T0001_XM_20110811100245_02jpg,3648,2736,Maize,2577,2715,1334,1476
76,T0001_XM_20110811100245_02jpg,3648,2736,Maize,2802,2930,1371,1533
77,T0001_XM_20110811100245_02jpg,3648,2736,Maize,3461,3619,1331,1476
78,T0001_XM_20110811100245_02jpg,3648,2736,Maize,3279,3437,2074,2185
79,T0001_XM_20110811100245_02jpg,3648,2736,Maize,3316,3471,2346,2524
80,T0001_XM_20110811100245_02jpg,3648,2736,Maize,2584,2728,2050,2171
81,T0001_XM_20110811100245_02jpg,3648,2736,Maize,1535,1616,2050,2161
82,T0001_XM_20110811100245_02jpg,3648,2736,Maize,6,150,1344,1593
83,T0001_XM_20110811100245_02jpg,3648,2736,Maize,143,352,17,165
84,T0001_XM_20110811100245_02jpg,3648,2736,Maize,1437,1532,595,766
85,T0001_XM_20110811140245_02jpg,3648,2736,Maize,9,167,1355,1546
86,T0001_XM_20110811140245_02jpg,3648,2736,Maize,920,1051,1213,1449
87,T0001_XM_20110811140245_02jpg,3648,2736,Maize,695,839,1344,1573
88,T0001_XM_20110811140245_02jpg,3648,2736,Maize,392,621,1949,2171
89,T0001_XM_20110811140245_02jpg,3648,2736,Maize,1518,1619,2030,2202
90,T0001_XM_20110811140245_02jpg,3648,2736,Maize,2607,2732,2034,2158
91,T0001_XM_20110811140245_02jpg,3648,2736,Maize,3279,3495,2017,2151
92,T0001_XM_20110811140245_02jpg,3648,2736,Maize,3326,3474,2326,2487
93,T0001_XM_20110811140245_02jpg,3648,2736,Maize,2641,2758,1287,1465
94,T0001_XM_20110811140245_02jpg,3648,2736,Maize,2802,2920,1348,1519
95,T0001_XM_20110811140245_02jpg,3648,2736,Maize,3468,3629,1291,1415
96,T0001_XM_20110811140245_02jpg,3648,2736,Maize,2994,3172,350,578
97,T0001_XM_20110811140245_02jpg,3648,2736,Maize,2604,2732,397,518
98,T0001_XM_20110811140245_02jpg,3648,2736,Maize,1656,1784,218,424
99,T0001_XM_20110811140245_02jpg,3648,2736,Maize,1437,1538,575,739
100,T0001_XM_20110811140245_02jpg,3648,2736,Maize,1125,1243,289,491
101,T0001_XM_20110811140245_02jpg,3648,2736,Maize,641,762,460,602
102,T0001_XM_20110811140245_02jpg,3648,2736,Maize,170,355,17,165
103,T0001_XM_20110811140245_02jpg,3648,2736,Maize,0,29,296,376
104,T0001_XM_20110811140245_02jpg,3648,2736,Maize,16,140,524,713
105,T0001_XM_20110811160246_02jpg,3648,2736,Maize,22,167,1348,1539
106,T0001_XM_20110811160246_02jpg,3648,2736,Maize,83,227,1203,1351
107,T0001_XM_20110811160246_02jpg,3648,2736,Maize,352,476,2003,2165
108,T0001_XM_20110811160246_02jpg,3648,2736,Maize,493,691,1956,2151
109,T0001_XM_20110811160246_02jpg,3648,2736,Maize,1515,1622,2054,2235
110,T0001_XM_20110811160246_02jpg,3648,2736,Maize,2631,2758,2010,2158
111,T0001_XM_20110811160246_02jpg,3648,2736,Maize,3357,3498,2023,2144
112,T0001_XM_20110811160246_02jpg,3648,2736,Maize,3340,3508,2306,2470
113,T0001_XM_20110811160246_02jpg,3648,2736,Maize,2647,2745,1311,1462
114,T0001_XM_20110811160246_02jpg,3648,2736,Maize,2799,2903,1361,1536
115,T0001_XM_20110811160246_02jpg,3648,2736,Maize,3458,3639,1281,1422
116,T0001_XM_20110811160246_02jpg,3648,2736,Maize,678,836,1351,1553
117,T0001_XM_20110811160246_02jpg,3648,2736,Maize,900,1061,1234,1445
118,T0001_XM_20110811160246_02jpg,3648,2736,Maize,611,806,464,615
119,T0001_XM_20110811160246_02jpg,3648,2736,Maize,167,348,10,171
120,T0001_XM_20110811160246_02jpg,3648,2736,Maize,0,83,508,592
121,T0001_XM_20110811160246_02jpg,3648,2736,Maize,1101,1253,313,477
122,T0001_XM_20110811160246_02jpg,3648,2736,Maize,1642,1800,255,430
123,T0001_XM_20110811160246_02jpg,3648,2736,Maize,1195,1286,0,57
124,T0001_XM_20110811160246_02jpg,3648,2736,Maize,3000,3212,303,635
125,T0001_XM_20110811160246_02jpg,3648,2736,Maize,2631,2718,387,575
126,T0001_XM_20110811160246_02jpg,3648,2736,Maize,1784,1827,81,155
127,T0001_XM_20110812100244_02jpg,3648,2736,Maize,43,201,1307,1509
128,T0001_XM_20110812100244_02jpg,3648,2736,Maize,160,251,1166,1294
129,T0001_XM_20110812100244_02jpg,3648,2736,Maize,436,601,1926,2067
130,T0001_XM_20110812100244_02jpg,3648,2736,Maize,664,809,1983,2195
131,T0001_XM_20110812100244_02jpg,3648,2736,Maize,1515,1659,2003,2205
132,T0001_XM_20110812100244_02jpg,3648,2736,Maize,2705,2826,1973,2131
133,T0001_XM_20110812100244_02jpg,3648,2736,Maize,3363,3552,2252,2403
134,T0001_XM_20110812100244_02jpg,3648,2736,Maize,3454,3616,1929,2081
135,T0001_XM_20110812100244_02jpg,3648,2736,Maize,2735,2923,1321,1489
136,T0001_XM_20110812100244_02jpg,3648,2736,Maize,2553,2684,1543,1667
137,T0001_XM_20110812100244_02jpg,3648,2736,Maize,3525,3648,1156,1318
138,T0001_XM_20110812100244_02jpg,3648,2736,Maize,3276,3374,897,1055
139,T0001_XM_20110812100244_02jpg,3648,2736,Maize,2836,2883,645,760
140,T0001_XM_20110812100244_02jpg,3648,2736,Maize,977,1189,1150,1402
141,T0001_XM_20110812100244_02jpg,3648,2736,Maize,631,876,1291,1509
142,T0001_XM_20110812100244_02jpg,3648,2736,Maize,288,432,3,121
143,T0001_XM_20110812100244_02jpg,3648,2736,Maize,2,120,464,568
144,T0001_XM_20110812100244_02jpg,3648,2736,Maize,614,769,454,629
145,T0001_XM_20110812100244_02jpg,3648,2736,Maize,1058,1122,339,484
146,T0001_XM_20110812100244_02jpg,3648,2736,Maize,1189,1330,272,457
147,T0001_XM_20110812100244_02jpg,3648,2736,Maize,1501,1619,501,682
148,T0001_XM_20110812100244_02jpg,3648,2736,Maize,1720,1898,158,336
149,T0001_XM_20110812100244_02jpg,3648,2736,Maize,1814,1874,0,84
150,T0001_XM_20110812100244_02jpg,3648,2736,Maize,2389,2449,20,141
151,T0001_XM_20110812100244_02jpg,3648,2736,Maize,2631,2708,276,420
152,T0001_XM_20110812100244_02jpg,3648,2736,Maize,2728,2866,286,434
153,T0001_XM_20110812100244_02jpg,3648,2736,Maize,3041,3242,299,592
154,T0001_XM_20110812100244_02jpg,3648,2736,Maize,3555,3648,77,195
155,T0001_XM_20110812130243_02jpg,3648,2736,Maize,456,604,1906,2097
156,T0001_XM_20110812130243_02jpg,3648,2736,Maize,685,822,1916,2161
157,T0001_XM_20110812130243_02jpg,3648,2736,Maize,1511,1646,1936,2155
158,T0001_XM_20110812130243_02jpg,3648,2736,Maize,2701,2819,1973,2111
159,T0001_XM_20110812130243_02jpg,3648,2736,Maize,2906,3004,2269,2397
160,T0001_XM_20110812130243_02jpg,3648,2736,Maize,3380,3599,2242,2474
161,T0001_XM_20110812130243_02jpg,3648,2736,Maize,3424,3636,1916,2094
162,T0001_XM_20110812130243_02jpg,3648,2736,Maize,2550,2715,1543,1704
163,T0001_XM_20110812130243_02jpg,3648,2736,Maize,2705,2836,1324,1459
164,T0001_XM_20110812130243_02jpg,3648,2736,Maize,2876,2977,1237,1445
165,T0001_XM_20110812130243_02jpg,3648,2736,Maize,3269,3370,908,1072
166,T0001_XM_20110812130243_02jpg,3648,2736,Maize,3542,3648,1129,1307
167,T0001_XM_20110812130243_02jpg,3648,2736,Maize,1874,2090,847,1018
168,T0001_XM_20110812130243_02jpg,3648,2736,Maize,638,849,1297,1533
169,T0001_XM_20110812130243_02jpg,3648,2736,Maize,1027,1216,1136,1378
170,T0001_XM_20110812130243_02jpg,3648,2736,Maize,19,224,1274,1492
171,T0001_XM_20110812130243_02jpg,3648,2736,Maize,153,301,1082,1277
172,T0001_XM_20110812130243_02jpg,3648,2736,Maize,0,106,440,575
173,T0001_XM_20110812130243_02jpg,3648,2736,Maize,214,348,403,575
174,T0001_XM_20110812130243_02jpg,3648,2736,Maize,621,772,447,652
175,T0001_XM_20110812130243_02jpg,3648,2736,Maize,990,1098,339,494
176,T0001_XM_20110812130243_02jpg,3648,2736,Maize,1209,1337,272,467
177,T0001_XM_20110812130243_02jpg,3648,2736,Maize,1471,1632,528,709
178,T0001_XM_20110812130243_02jpg,3648,2736,Maize,278,422,0,118
179,T0001_XM_20110812130243_02jpg,3648,2736,Maize,1068,1202,134,269
180,T0001_XM_20110812130243_02jpg,3648,2736,Maize,1760,1958,77,356
181,T0001_XM_20110812130243_02jpg,3648,2736,Maize,1824,1905,3,37
182,T0001_XM_20110812130243_02jpg,3648,2736,Maize,2631,2721,242,420
183,T0001_XM_20110812130243_02jpg,3648,2736,Maize,2742,2842,242,440
184,T0001_XM_20110812130243_02jpg,3648,2736,Maize,2812,2913,618,770
185,T0001_XM_20110812130243_02jpg,3648,2736,Maize,3041,3212,303,608
186,T0001_XM_20110812130243_02jpg,3648,2736,Maize,3525,3648,81,289
187,T0001_XM_20110812160246_02jpg,3648,2736,Maize,389,594,1872,2107
188,T0001_XM_20110812160246_02jpg,3648,2736,Maize,671,816,1886,2131
189,T0001_XM_20110812160246_02jpg,3648,2736,Maize,1471,1673,1886,2107
190,T0001_XM_20110812160246_02jpg,3648,2736,Maize,22,204,1297,1489
191,T0001_XM_20110812160246_02jpg,3648,2736,Maize,143,281,1119,1287
192,T0001_XM_20110812160246_02jpg,3648,2736,Maize,664,846,1271,1556
193,T0001_XM_20110812160246_02jpg,3648,2736,Maize,943,1172,1126,1385
194,T0001_XM_20110812160246_02jpg,3648,2736,Maize,0,80,424,555
195,T0001_XM_20110812160246_02jpg,3648,2736,Maize,611,795,437,598
196,T0001_XM_20110812160246_02jpg,3648,2736,Maize,248,385,424,534
197,T0001_XM_20110812160246_02jpg,3648,2736,Maize,295,439,0,104
198,T0001_XM_20110812160246_02jpg,3648,2736,Maize,960,1088,319,487
199,T0001_XM_20110812160246_02jpg,3648,2736,Maize,1212,1377,242,444
200,T0001_XM_20110812160246_02jpg,3648,2736,Maize,1068,1175,111,266
201,T0001_XM_20110812160246_02jpg,3648,2736,Maize,1468,1649,447,699
202,T0001_XM_20110812160246_02jpg,3648,2736,Maize,1898,2069,682,881
203,T0001_XM_20110812160246_02jpg,3648,2736,Maize,1743,1925,84,336
204,T0001_XM_20110812160246_02jpg,3648,2736,Maize,2382,2459,0,101
205,T0001_XM_20110812160246_02jpg,3648,2736,Maize,2584,2688,252,444
206,T0001_XM_20110812160246_02jpg,3648,2736,Maize,2715,2809,249,413
207,T0001_XM_20110812160246_02jpg,3648,2736,Maize,3047,3219,299,558
208,T0001_XM_20110812160246_02jpg,3648,2736,Maize,3548,3648,67,269
209,T0001_XM_20110812160246_02jpg,3648,2736,Maize,2816,2913,595,733
210,T0001_XM_20110812160246_02jpg,3648,2736,Maize,3246,3350,857,1055
211,T0001_XM_20110812160246_02jpg,3648,2736,Maize,3518,3648,1059,1250
212,T0001_XM_20110812160246_02jpg,3648,2736,Maize,2701,2879,1284,1479
213,T0001_XM_20110812160246_02jpg,3648,2736,Maize,2886,3014,1197,1469
214,T0001_XM_20110812160246_02jpg,3648,2736,Maize,3380,3648,2178,2383
215,T0001_XM_20110812160246_02jpg,3648,2736,Maize,3458,3629,1882,2064
216,T0001_XM_20110812160246_02jpg,3648,2736,Maize,2728,2879,1970,2118
217,T0001_XM_20110812160246_02jpg,3648,2736,Maize,2906,3007,2252,2366
218,T0001_XM_20110813090243_02jpg,3648,2736,Maize,1451,1592,1879,2067
219,T0001_XM_20110813090243_02jpg,3648,2736,Maize,674,853,1896,2118
220,T0001_XM_20110813090243_02jpg,3648,2736,Maize,399,580,1906,2118
221,T0001_XM_20110813090243_02jpg,3648,2736,Maize,19,211,1311,1486
222,T0001_XM_20110813090243_02jpg,3648,2736,Maize,39,271,1055,1287
223,T0001_XM_20110813090243_02jpg,3648,2736,Maize,674,853,1291,1539
224,T0001_XM_20110813090243_02jpg,3648,2736,Maize,950,1162,1113,1392
225,T0001_XM_20110813090243_02jpg,3648,2736,Maize,1905,2120,632,840
226,T0001_XM_20110813090243_02jpg,3648,2736,Maize,1488,1679,471,622
227,T0001_XM_20110813090243_02jpg,3648,2736,Maize,1175,1394,252,427
228,T0001_XM_20110813090243_02jpg,3648,2736,Maize,611,819,450,629
229,T0001_XM_20110813090243_02jpg,3648,2736,Maize,231,392,400,531
230,T0001_XM_20110813090243_02jpg,3648,2736,Maize,0,66,407,511
231,T0001_XM_20110813090243_02jpg,3648,2736,Maize,295,429,0,111
232,T0001_XM_20110813090243_02jpg,3648,2736,Maize,953,1098,229,390
233,T0001_XM_20110813090243_02jpg,3648,2736,Maize,1078,1222,30,205
234,T0001_XM_20110813090243_02jpg,3648,2736,Maize,1713,1965,77,343
235,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2338,2520,0,141
236,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2617,2705,229,403
237,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2732,2809,208,440
238,T0001_XM_20110813090243_02jpg,3648,2736,Maize,3054,3242,303,585
239,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2859,2913,575,682
240,T0001_XM_20110813090243_02jpg,3648,2736,Maize,3256,3410,850,1018
241,T0001_XM_20110813090243_02jpg,3648,2736,Maize,3565,3648,1055,1234
242,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2886,3084,1139,1324
243,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2728,2960,1311,1489
244,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2503,2701,1449,1654
245,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2732,2853,1939,2118
246,T0001_XM_20110813090243_02jpg,3648,2736,Maize,2896,3041,2218,2390
247,T0001_XM_20110813090243_02jpg,3648,2736,Maize,3451,3632,1862,2074
248,T0001_XM_20110813090243_02jpg,3648,2736,Maize,3421,3632,2188,2400
249,T0001_XM_20110813100248_02jpg,3648,2736,Maize,325,577,1990,2228
250,T0001_XM_20110813100248_02jpg,3648,2736,Maize,631,826,1923,2269
251,T0001_XM_20110813100248_02jpg,3648,2736,Maize,19,153,1361,1563
252,T0001_XM_20110813100248_02jpg,3648,2736,Maize,26,211,1197,1314
253,T0001_XM_20110813100248_02jpg,3648,2736,Maize,601,792,1341,1570
254,T0001_XM_20110813100248_02jpg,3648,2736,Maize,903,1118,1183,1452
255,T0001_XM_20110813100248_02jpg,3648,2736,Maize,0,66,417,531
256,T0001_XM_20110813100248_02jpg,3648,2736,Maize,624,775,450,629
257,T0001_XM_20110813100248_02jpg,3648,2736,Maize,221,419,0,101
258,T0001_XM_20110813100248_02jpg,3648,2736,Maize,843,1004,225,447
259,T0001_XM_20110813100248_02jpg,3648,2736,Maize,1054,1152,13,151
260,T0001_XM_20110813100248_02jpg,3648,2736,Maize,1111,1316,249,447
261,T0001_XM_20110813100248_02jpg,3648,2736,Maize,1441,1616,437,699
262,T0001_XM_20110813100248_02jpg,3648,2736,Maize,1676,1905,114,336
263,T0001_XM_20110813100248_02jpg,3648,2736,Maize,1831,2022,666,871
264,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2594,2664,242,420
265,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2362,2506,0,141
266,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2701,2832,202,397
267,T0001_XM_20110813100248_02jpg,3648,2736,Maize,3061,3222,299,561
268,T0001_XM_20110813100248_02jpg,3648,2736,Maize,3320,3417,780,1015
269,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2853,2916,581,679
270,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2732,2913,1311,1513
271,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2500,2701,1429,1664
272,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2910,3041,1150,1351
273,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2748,2886,1970,2097
274,T0001_XM_20110813100248_02jpg,3648,2736,Maize,2913,3091,2222,2363
275,T0001_XM_20110813100248_02jpg,3648,2736,Maize,3417,3646,2171,2407
276,T0001_XM_20110813100248_02jpg,3648,2736,Maize,3458,3648,1886,2114
277,T0001_XM_20110813100248_02jpg,3648,2736,Maize,3121,3179,1617,1721
278,T0001_XM_20110813160245_02jpg,3648,2736,Maize,16,221,1324,1496
279,T0001_XM_20110813160245_02jpg,3648,2736,Maize,56,231,1069,1307
280,T0001_XM_20110813160245_02jpg,3648,2736,Maize,315,570,1872,2114
281,T0001_XM_20110813160245_02jpg,3648,2736,Maize,674,819,1889,2128
282,T0001_XM_20110813160245_02jpg,3648,2736,Maize,1387,1518,1765,2013
283,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2254,2305,1375,1486
284,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2483,2684,1405,1630
285,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2768,2943,1348,1509
286,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2853,3071,1143,1331
287,T0001_XM_20110813160245_02jpg,3648,2736,Maize,3283,3431,820,998
288,T0001_XM_20110813160245_02jpg,3648,2736,Maize,3575,3648,1045,1203
289,T0001_XM_20110813160245_02jpg,3648,2736,Maize,3505,3629,1886,2040
290,T0001_XM_20110813160245_02jpg,3648,2736,Maize,3404,3609,2141,2380
291,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2926,3138,2188,2346
292,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2732,2896,1879,2074
293,T0001_XM_20110813160245_02jpg,3648,2736,Maize,627,832,1324,1553
294,T0001_XM_20110813160245_02jpg,3648,2736,Maize,997,1175,1136,1334
295,T0001_XM_20110813160245_02jpg,3648,2736,Maize,0,69,390,508
296,T0001_XM_20110813160245_02jpg,3648,2736,Maize,174,348,343,494
297,T0001_XM_20110813160245_02jpg,3648,2736,Maize,285,419,0,84
298,T0001_XM_20110813160245_02jpg,3648,2736,Maize,473,590,380,558
299,T0001_XM_20110813160245_02jpg,3648,2736,Maize,631,765,447,642
300,T0001_XM_20110813160245_02jpg,3648,2736,Maize,900,1051,229,403
301,T0001_XM_20110813160245_02jpg,3648,2736,Maize,1051,1179,47,188
302,T0001_XM_20110813160245_02jpg,3648,2736,Maize,1172,1353,218,397
303,T0001_XM_20110813160245_02jpg,3648,2736,Maize,1491,1690,390,655
304,T0001_XM_20110813160245_02jpg,3648,2736,Maize,1710,1911,57,309
305,T0001_XM_20110813160245_02jpg,3648,2736,Maize,1921,2137,568,827
306,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2644,2735,222,373
307,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2735,2859,215,434
308,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2402,2523,3,121
309,T0001_XM_20110813160245_02jpg,3648,2736,Maize,2147,2227,0,67
310,T0001_XM_20110813160245_02jpg,3648,2736,Maize,3058,3219,252,592
311,T0001_XM_20110813160245_02jpg,3648,2736,Maize,3061,3128,0,182
312,T0001_XM_20110814100248_02jpg,3648,2736,Maize,278,436,1953,2161
313,T0001_XM_20110814100248_02jpg,3648,2736,Maize,466,574,1889,2104
314,T0001_XM_20110814100248_02jpg,3648,2736,Maize,678,843,1882,2158
315,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1316,1528,1755,1939
316,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1555,1713,2175,2316
317,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2782,2970,1933,2087
318,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2849,3105,2144,2333
319,T0001_XM_20110814100248_02jpg,3648,2736,Maize,3427,3609,2178,2370
320,T0001_XM_20110814100248_02jpg,3648,2736,Maize,3501,3632,1865,2034
321,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2442,2668,1465,1654
322,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2174,2298,1314,1449
323,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2775,2963,1338,1526
324,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2856,3071,1102,1314
325,T0001_XM_20110814100248_02jpg,3648,2736,Maize,3253,3464,780,961
326,T0001_XM_20110814100248_02jpg,3648,2736,Maize,3579,3648,1109,1146
327,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2846,2963,538,642
328,T0001_XM_20110814100248_02jpg,3648,2736,Maize,3071,3259,316,534
329,T0001_XM_20110814100248_02jpg,3648,2736,Maize,3044,3131,17,111
330,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2748,2896,218,403
331,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2627,2735,182,373
332,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2163,2348,141,353
333,T0001_XM_20110814100248_02jpg,3648,2736,Maize,2405,2449,0,50
334,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1706,2009,47,316
335,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1827,2032,427,699
336,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1669,1780,424,592
337,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1663,1740,773,897
338,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1777,1837,928,1042
339,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1501,1659,417,622
340,T0001_XM_20110814100248_02jpg,3648,2736,Maize,1189,1448,202,390
341,T0001_XM_20110814100248_02jpg,3648,2736,Maize,957,1185,0,161
342,T0001_XM_20110814100248_02jpg,3648,2736,Maize,812,980,182,363
343,T0001_XM_20110814100248_02jpg,3648,2736,Maize,631,782,450,618
344,T0001_XM_20110814100248_02jpg,3648,2736,Maize,432,584,333,534
